"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"12/9/2019 7 a.m. EST",24054,23156,14194,-7393
CAL,"12/9/2019 8 a.m. EST",24880,23965,14164,-7752
CAL,"12/9/2019 9 a.m. EST",26710,25982,15519,-8364
CAL,"12/9/2019 10 a.m. EST",29917,28954,17771,-9744
CAL,"12/9/2019 11 a.m. EST",31384,30564,20022,-9148
CAL,"12/9/2019 12 p.m. EST",31027,30671,20544,-7921
CAL,"12/9/2019 1 p.m. EST",30449,30299,20774,-7626
CAL,"12/9/2019 2 p.m. EST",29716,29773,21093,-6957
CAL,"12/9/2019 3 p.m. EST",29309,29302,20492,-6379
CAL,"12/9/2019 4 p.m. EST",29043,29097,21072,-6063
CAL,"12/9/2019 5 p.m. EST",29031,29212,21114,-5587
CAL,"12/9/2019 6 p.m. EST",29360,29602,20266,-5872
CAL,"12/9/2019 7 p.m. EST",30368,30441,17878,-7384
CAL,"12/9/2019 8 p.m. EST",32418,32230,19701,-9045
CAL,"12/9/2019 9 p.m. EST",35390,35220,20414,-9786
CAL,"12/9/2019 10 p.m. EST",35563,35402,19985,-10229
CAL,"12/9/2019 11 p.m. EST",35049,34812,19594,-10295
CAL,"12/10/2019 12 a.m. EST",34213,33818,19166,-10196
CAL,"12/10/2019 1 a.m. EST",32688,32216,17840,-10052
CAL,"12/10/2019 2 a.m. EST",30219,29924,16364,-9329
CAL,"12/10/2019 3 a.m. EST",27845,27697,15604,-8511
CAL,"12/10/2019 4 a.m. EST",26545,25776,15769,-7856
CAL,"12/10/2019 5 a.m. EST",25919,24862,15393,-7599
CAL,"12/10/2019 6 a.m. EST",25349,24279,15261,-7370
CAL,"12/10/2019 7 a.m. EST",25220,24248,15301,-7188
CAL,"12/10/2019 8 a.m. EST",25963,25005,15408,-7427
CAL,"12/10/2019 9 a.m. EST",27870,26998,16230,-8101
CAL,"12/10/2019 10 a.m. EST",30800,29916,18466,-8844
CAL,"12/10/2019 11 a.m. EST",32186,31258,20542,-8464
CAL,"12/10/2019 12 p.m. EST",31681,31290,20869,-7874
CAL,"12/10/2019 1 p.m. EST",31315,30924,21011,-7853
CAL,"12/10/2019 2 p.m. EST",30591,30464,21230,-6824
CAL,"12/10/2019 3 p.m. EST",29869,30042,20970,-6492
CAL,"12/10/2019 4 p.m. EST",29569,29823,20923,-6598
CAL,"12/10/2019 5 p.m. EST",29825,29971,20225,-6630
CAL,"12/10/2019 6 p.m. EST",30359,30301,19272,-7291
CAL,"12/10/2019 7 p.m. EST",31301,30934,19163,-8291
CAL,"12/10/2019 8 p.m. EST",33097,32695,20463,-8890
CAL,"12/10/2019 9 p.m. EST",35721,35321,20738,-9660
CAL,"12/10/2019 10 p.m. EST",35791,35454,20054,-10148
CAL,"12/10/2019 11 p.m. EST",35303,34937,19740,-10331
CAL,"12/11/2019 12 a.m. EST",34516,34018,18828,-10526
CAL,"12/11/2019 1 a.m. EST",32975,32461,17293,-10364
CAL,"12/11/2019 2 a.m. EST",30589,30101,16530,-9917
CAL,"12/11/2019 3 a.m. EST",28175,27830,16080,-8864
CAL,"12/11/2019 4 a.m. EST",26710,26010,15898,-7759
CAL,"12/11/2019 5 a.m. EST",25776,25039,16094,-7184
CAL,"12/11/2019 6 a.m. EST",25409,24425,16016,-6957
CAL,"12/11/2019 7 a.m. EST",25191,24332,16271,-6710
CAL,"12/11/2019 8 a.m. EST",25936,25058,16087,-6940
CAL,"12/11/2019 9 a.m. EST",27858,27040,16685,-7817
CAL,"12/11/2019 10 a.m. EST",30851,30110,18677,-9028
CAL,"12/11/2019 11 a.m. EST",32256,31506,21375,-8386
CAL,"12/11/2019 12 p.m. EST",31793,31036,22439,-6754
CAL,"12/11/2019 1 p.m. EST",31214,30272,22338,-6344
CAL,"12/11/2019 2 p.m. EST",30882,29652,22097,-6420
CAL,"12/11/2019 3 p.m. EST",30864,29191,22731,-6287
CAL,"12/11/2019 4 p.m. EST",31026,29031,22722,-6257
CAL,"12/11/2019 5 p.m. EST",30948,29247,22791,-6244
CAL,"12/11/2019 6 p.m. EST",31562,29714,21752,-6751
CAL,"12/11/2019 7 p.m. EST",31521,30531,19937,-7199
CAL,"12/11/2019 8 p.m. EST",33320,32359,20823,-8604
CAL,"12/11/2019 9 p.m. EST",32203,35264,21858,-9243
CAL,"12/11/2019 10 p.m. EST",35830,35344,21378,-9597
CAL,"12/11/2019 11 p.m. EST",35340,34725,21071,-9395
CAL,"12/12/2019 12 a.m. EST",34428,33765,19560,-9543
CAL,"12/12/2019 1 a.m. EST",32846,32206,18012,-9885
CAL,"12/12/2019 2 a.m. EST",30425,29882,17172,-9256
CAL,"12/12/2019 3 a.m. EST",28050,27590,16199,-8265
CAL,"12/12/2019 4 a.m. EST",26710,25990,15018,-8271
CAL,"12/12/2019 5 a.m. EST",25634,25034,14561,-8266
CAL,"12/12/2019 6 a.m. EST",24949,24357,14311,-8138
CAL,"12/12/2019 7 a.m. EST",24874,24259,14248,-8208
CAL,"12/12/2019 8 a.m. EST",25559,24957,14211,-8418
CAL,"12/12/2019 9 a.m. EST",27409,26861,15468,-9134
CAL,"12/12/2019 10 a.m. EST",30492,29906,17760,-9761
CAL,"12/12/2019 11 a.m. EST",31930,31333,19782,-10007
CAL,"12/12/2019 12 p.m. EST",31409,31097,20414,-8557
CAL,"12/12/2019 1 p.m. EST",30713,30552,21245,-7372
CAL,"12/12/2019 2 p.m. EST",29664,30024,20702,-6648
CAL,"12/12/2019 3 p.m. EST",29098,29733,20559,-6715
CAL,"12/12/2019 4 p.m. EST",28961,29674,20100,-6783
CAL,"12/12/2019 5 p.m. EST",29504,30053,20359,-7034
CAL,"12/12/2019 6 p.m. EST",30058,30475,20003,-7503
CAL,"12/12/2019 7 p.m. EST",31092,31308,18648,-8117
